2020-03-14 11:34:22,673 - INFO     - decorators - Функция "get_message" из модуля "srv_function" с аргументами ((<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65319)>,), {})
2020-03-14 11:34:22,673 - DEBUG    - server - Обработка сообщения от клиента - {'action': 'get_registered', 'time': 1584174861.689348, 'user': 'test_user_1'}
2020-03-14 11:34:22,688 - DEBUG    - server - Пользователь test_user_1 запросил список зарегистрированных пользователей.
2020-03-14 11:34:22,689 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "processing_message"
2020-03-14 11:34:22,689 - INFO     - decorators - Функция "send_message" из модуля "srv_function" с аргументами ((<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65319)>, {'response': 202, 'data': ['test_user_1', 'test_user_2', 'test_user_3', 'lola', 'test_1', 'test_2', 'test_3', 'test_4', 'test_5', 'Petr', 'Peter', 'Ivan', 'Vasya', 'Ignat']}), {})
2020-03-14 11:34:23,194 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "run"
2020-03-14 11:34:23,195 - INFO     - decorators - Функция "get_message" из модуля "srv_function" с аргументами ((<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65319)>,), {})
2020-03-14 11:34:23,195 - DEBUG    - server - Обработка сообщения от клиента - {'action': 'get_contacts', 'time': 1584174861.689347, 'user': 'test_user_1'}
2020-03-14 11:34:23,198 - DEBUG    - server - Пользователь test_user_1 запросил список контактов.
2020-03-14 11:34:23,199 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "processing_message"
2020-03-14 11:34:23,200 - INFO     - decorators - Функция "send_message" из модуля "srv_function" с аргументами ((<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65319)>, {'response': 202, 'data': ['test_4', 'test_2', 'Vasya']}), {})
2020-03-14 11:34:41,813 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "run"
